Applicant_Type,Employee_Income_Persons,Employee_Income_Total,Employee_Income_Median,Unincorporated_Business_Income_Persons,Unincorporated_Business_Income_Total,Unincorporated_Business_Income_Median,Investment_Income_Persons,Investment_Income_Total,Investment_Income_Median,Other_Income_Persons,Other_Income_Total,Other_Income_Median,Total_Income_Persons,Total_Income_Total,Total_Income_Median
Onshore applicant,,,,,,,,,,,,,,,
Primary Applicant,,,,,,,,,,,,,,,
Skilled,349748.0,29491156.0,68889.0,50289.0,1431814.0,9348.0,260149.0,448937.0,94.0,15513.0,165305.0,890.0,380623.0,31545623.0,66073.0
Family,165487.0,8767263.0,43699.0,30025.0,644765.0,12361.0,114246.0,437976.0,79.0,8603.0,121154.0,2456.0,191888.0,9969159.0,41286.0
Humanitarian,17779.0,756923.0,40036.0,9384.0,207865.0,20281.0,9810.0,12762.0,52.0,610.0,12993.0,4705.0,24728.0,991407.0,35615.0
Other permanent,294.0,17097.0,53441.0,62.0,1179.0,17951.0,201.0,400.0,215.0,14.0,131.0,2520.0,350.0,19053.0,48959.0
Provisional,82122.0,1883871.0,19331.0,11112.0,128867.0,8628.0,42783.0,19443.0,35.0,1040.0,17854.0,8860.0,89409.0,2049799.0,19735.0
Total (d),615431.0,40918300.0,53731.0,100867.0,2416415.0,11119.0,427177.0,919404.0,75.0,25779.0,318317.0,1460.0,686994.0,44566071.0,50546.0
Secondary applicant ,,,,,,,,,,,,,,,
Skilled,154377.0,7277870.0,40300.0,23405.0,466867.0,11576.0,104148.0,352488.0,66.0,5597.0,51398.0,1157.0,174966.0,8146569.0,38225.0
Family,4592.0,147738.0,24104.0,395.0,6930.0,12247.0,2926.0,15235.0,98.0,481.0,8667.0,10013.0,5503.0,178624.0,23598.0
Humanitarian,4667.0,171729.0,30644.0,949.0,20059.0,16303.0,2649.0,2031.0,49.0,104.0,845.0,2017.0,5499.0,194651.0,28395.0
Other permanent,119.0,6140.0,48027.0,20.0,373.0,20230.0,79.0,29.0,58.0,,,,136.0,6492.0,44148.0
Provisional,15687.0,506267.0,29614.0,3699.0,55849.0,12503.0,8208.0,2934.0,34.0,128.0,2312.0,7380.0,17507.0,567431.0,29640.0
Total (d),179438.0,8109083.0,38600.0,28473.0,549787.0,11893.0,118008.0,372906.0,61.0,6309.0,63576.0,1539.0,203610.0,9093212.0,36782.0
Total,,,,,,,,,,,,,,,
Skilled,504123.0,36769021.0,59301.0,73690.0,1896952.0,10128.0,364296.0,803619.0,85.0,21106.0,216277.0,965.0,555588.0,39695137.0,56627.0
Family,170077.0,8915143.0,43211.0,30421.0,651840.0,12360.0,117171.0,453194.0,80.0,9092.0,130118.0,2830.0,197385.0,10147133.0,40800.0
Humanitarian,22443.0,928270.0,38238.0,10333.0,228424.0,20062.0,12456.0,14983.0,51.0,711.0,14110.0,4488.0,30220.0,1185125.0,34554.0
Other permanent,412.0,23124.0,50843.0,81.0,1525.0,19951.0,281.0,441.0,134.0,16.0,166.0,2010.0,486.0,25276.0,47550.0
Provisional,97805.0,2389917.0,20644.0,14810.0,184832.0,9551.0,50983.0,22510.0,35.0,1161.0,19889.0,8680.0,106919.0,2617597.0,20836.0
Total (d),794865.0,49027689.0,49750.0,129337.0,2964698.0,11322.0,545191.0,1293256.0,72.0,32087.0,380667.0,1476.0,890608.0,53662970.0,46727.0
Offshore applicant,,,,,,,,,,,,,,,
Primary Applicant,,,,,,,,,,,,,,,
Skilled,292767.0,26007142.0,77625.0,46613.0,1365234.0,10459.0,230742.0,562712.0,102.0,17832.0,209478.0,1165.0,328428.0,28148748.0,73059.0
Family,237464.0,11859332.0,41177.0,45242.0,983720.0,14992.0,164059.0,617894.0,93.0,14994.0,228686.0,5015.0,290686.0,13691334.0,37215.0
Humanitarian,20070.0,792140.0,38246.0,5915.0,103274.0,13804.0,8346.0,6460.0,46.0,529.0,3625.0,1600.0,24541.0,904880.0,33754.0
Other permanent,185.0,12999.0,60771.0,33.0,461.0,8163.0,154.0,568.0,154.0,30.0,542.0,2681.0,222.0,14506.0,57695.0
Provisional,2061.0,48256.0,17872.0,219.0,2233.0,8406.0,772.0,356.0,32.0,20.0,108.0,3080.0,2195.0,50853.0,18000.0
Total (d),552535.0,38719839.0,57082.0,98033.0,2454627.0,13003.0,404072.0,1189096.0,96.0,33410.0,444294.0,2218.0,646076.0,42808280.0,51921.0
