Year,State,Male,Female,Total
2014,New South Wales,1954400.0,1648900.0,3606900.0
2014,Victoria,1567100.0,1337700.0,2903100.0
2014,Queensland,1227400.0,1087800.0,2316800.0
2014,South Australia,432200.0,369000.0,799500.0
2014,Western Australia,726800.0,581600.0,1308000.0
2014,Tasmania,125300.0,111100.0,236600.0
2014,Northern Territory,66900.0,56900.0,123700.0
2014,Australian Capital Territory,108600.0,103100.0,209900.0
2014,Total,6208000.0,5294700.0,11505000.0
2015,New South Wales,2003800.0,1719900.0,3722300.0
2015,Victoria,1610500.0,1372800.0,2979200.0
2015,Queensland,1237300.0,1103800.0,2341100.0
2015,South Australia,421300.0,378600.0,800200.0
2015,Western Australia,730400.0,584600.0,1315500.0
2015,Tasmania,128199.99999999999,112200.0,241000.0
2015,Northern Territory,70400.0,59500.0,129800.0
2015,Australian Capital Territory,107900.0,104200.0,212300.0
2015,Total,6306800.0,5433900.0,11740700.0
2016,New South Wales,2038600.0,1771000.0,3806900.0
2016,Victoria,1677900.0,1424100.0,3102500.0
2016,Queensland,1238500.0,1099000.0,2337500.0
2016,South Australia,424100.0,383300.0,810100.0
2016,Western Australia,700000.0,593400.0,1292600.0
2016,Tasmania,126400.0,111100.0,237400.0
2016,Northern Territory,70100.0,58600.0,128600.0
2016,Australian Capital Territory,111500.0,107600.0,219700.0
2016,Total,6386000.0,5553800.0,11937400.0
2017,New South Wales,2067800.0000000002,1802700.0,3869300.0
2017,Victoria,1714900.0,1489100.0,3200100.0
2017,Queensland,1275900.0,1154500.0,2430900.0
2017,South Australia,441800.0,387300.0,828300.0
2017,Western Australia,725200.0,607000.0,1332800.0
2017,Tasmania,131000.0,121000.0,251600.0
2017,Northern Territory,69400.0,59400.0,128900.0
2017,Australian Capital Territory,115500.0,112800.0,229000.0
2017,Total,6542000.0,5728200.0,12272800.0
2018,New South Wales,2118700.0,1871200.0,3992300.0
2018,Victoria,1755900.0,1515200.0,3273800.0
2018,Queensland,1296800.0,1168800.0,2466700.0
2018,South Australia,446800.0,399100.0,847200.0
2018,Western Australia,736400.0,618500.0,1354300.0
2018,Tasmania,135100.0,123200.0,258899.99999999997
2018,Northern Territory,67200.0,58700.0,125700.0
2018,Australian Capital Territory,120400.0,113700.0,234300.0
2018,Total,6683700.0,5873900.0,12554400.0
2019,New South Wales,2189700.0,1900300.0,4088600.0
2019,Victoria,1784200.0,1585400.0,3370800.0
2019,Queensland,1312900.0,1209200.0,2523200.0
2019,South Australia,447400.0,415800.0,863500.0
2019,Western Australia,746600.0,636400.0,1384300.0
2019,Tasmania,137400.0,125300.0,262300.0
2019,Northern Territory,64900.0,58600.0,122800.0
2019,Australian Capital Territory,124500.0,119100.0,243900.0
2019,Total,6807200.0,6054500.0,12861200.0
2020,New South Wales,2094600.0,1861800.0,3955000.0
2020,Victoria,1730700.0,1485000.0,3215800.0
2020,Queensland,1288900.0,1215400.0,2505000.0
2020,South Australia,444300.0,405500.0,848300.0
2020,Western Australia,744400.0,631600.0,1376400.0
2020,Tasmania,140300.0,126500.0,266800.0
2020,Northern Territory,61900.0,56000.0,117800.0
2020,Australian Capital Territory,126900.0,123600.0,250500.0
2020,Total,6627500.0,5904300.0,12532800.0
2021,New South Wales,2062300.0,1820100.0,3880900.0
2021,Victoria,1803400.0,1594900.0,3396300.0
2021,Queensland,1383100.0,1263300.0,2642000.0
2021,South Australia,467300.0,422300.0,889000.0
2021,Western Australia,779500.0,679900.0,1461700.0
2021,Tasmania,147400.0,131500.0,278800.0
2021,Northern Territory,62500.0,57100.0,119700.0
2021,Australian Capital Territory,126900.0,120700.0,247200.0
2021,Total,6827700.0,6085600.0,12913300.0
2022,New South Wales,2234900.0,2020400.0,4258000.0
2022,Victoria,1852100.0,1660900.0,3507700.0
2022,Queensland,1427800.0,1345800.0,2777100.0
2022,South Australia,478300.0,436400.0,915900.0
2022,Western Australia,818600.0,699500.0,1519500.0
2022,Tasmania,146800.0,137100.0,283400.0
2022,Northern Territory,64900.0,59000.0,125100.0
2022,Australian Capital Territory,131100.0,125600.0,257399.99999999997
2022,Total,7153000.0,6487300.0,13639700.0
2023,New South Wales,2301000.0,2060800.0000000002,4359800.0
2023,Victoria,1905300.0,1751900.0,3655100.0
2023,Queensland,1472700.0,1365500.0,2840200.0
2023,South Australia,497400.0,452500.0,951200.0
2023,Western Australia,828800.0,726700.0,1556500.0
2023,Tasmania,148700.0,139400.0,288000.0
2023,Northern Territory,66600.0,59600.0,125200.0
2023,Australian Capital Territory,135500.0,129900.0,265900.0
2023,Total,7359500.0,6685700.0,14042400.0
