Reference year,Region of usual residence (SA4),Occupation of main job,Male,Female
Aug-14,New South Wales,Managers,329,188
Aug-14,New South Wales,Professionals,416.6,436.3
Aug-14,New South Wales,Technicians and Trades Workers,429.5,60.5
Aug-14,New South Wales,Community and Personal Service Workers,106.9,238.8
Aug-14,New South Wales,Clerical and Administrative Workers,120,382.2
Aug-14,New South Wales,Sales Workers,140.1,204.8
Aug-14,New South Wales,Machinery Operators and Drivers,209.7,17.3
Aug-14,New South Wales,Labourers,204.5,118.5
Aug-14,New South Wales,Not employed,0,0
Aug-14,Victoria,Managers,263.5,128.1
Aug-14,Victoria,Professionals,327.3,387.1
Aug-14,Victoria,Technicians and Trades Workers,347,58.6
Aug-14,Victoria,Community and Personal Service Workers,91.8,186.9
Aug-14,Victoria,Clerical and Administrative Workers,105.2,293
Aug-14,Victoria,Sales Workers,114.6,188
Aug-14,Victoria,Machinery Operators and Drivers,153.1,14.4
Aug-14,Victoria,Labourers,165.2,78.3
Aug-14,Victoria,Not employed,0,0
Aug-14,Queensland,Managers,167.9,108.9
Aug-14,Queensland,Professionals,203.2,239.9
Aug-14,Queensland,Technicians and Trades Workers,320,51.5
Aug-14,Queensland,Community and Personal Service Workers,79.5,175.2
Aug-14,Queensland,Clerical and Administrative Workers,67.4,267.2
Aug-14,Queensland,Sales Workers,80.6,144.2
Aug-14,Queensland,Machinery Operators and Drivers,153.1,19.4
Aug-14,Queensland,Labourers,160.8,85.4
Aug-14,Queensland,Not employed,0,0
Aug-14,South Australia,Managers,72.8,39
Aug-14,South Australia,Professionals,78.7,89
Aug-14,South Australia,Technicians and Trades Workers,96.1,16.3
Aug-14,South Australia,Community and Personal Service Workers,27.4,63.1
Aug-14,South Australia,Clerical and Administrative Workers,30.4,76.4
Aug-14,South Australia,Sales Workers,27.5,46.7
Aug-14,South Australia,Machinery Operators and Drivers,47,5.9
Aug-14,South Australia,Labourers,53.6,29.2
Aug-14,South Australia,Not employed,0,0
Aug-14,Western Australia,Managers,108.7,52.2
Aug-14,Western Australia,Professionals,141.4,148.5
Aug-14,Western Australia,Technicians and Trades Workers,199.5,33.8
Aug-14,Western Australia,Community and Personal Service Workers,35.7,79.1
Aug-14,Western Australia,Clerical and Administrative Workers,36.1,140.7
Aug-14,Western Australia,Sales Workers,40.1,80.1
Aug-14,Western Australia,Machinery Operators and Drivers,90.4,6.3
Aug-14,Western Australia,Labourers,80.4,42.6
Aug-14,Western Australia,Not employed,0,0
Aug-14,Tasmania,Managers,16.6,10
Aug-14,Tasmania,Professionals,20.2,24.3
Aug-14,Tasmania,Technicians and Trades Workers,29.4,6
Aug-14,Tasmania,Community and Personal Service Workers,8,18.7
Aug-14,Tasmania,Clerical and Administrative Workers,9.6,25.3
Aug-14,Tasmania,Sales Workers,8.1,16
Aug-14,Tasmania,Machinery Operators and Drivers,13.9,1.1
Aug-14,Tasmania,Labourers,19.5,10.1
Aug-14,Tasmania,Not employed,0,0
Aug-14,Northern Territory,Managers,8.7,6.6
Aug-14,Northern Territory,Professionals,11.8,15.8
Aug-14,Northern Territory,Technicians and Trades Workers,18.5,1.8
Aug-14,Northern Territory,Community and Personal Service Workers,7,8.6
Aug-14,Northern Territory,Clerical and Administrative Workers,4.8,15
Aug-14,Northern Territory,Sales Workers,3.7,4
Aug-14,Northern Territory,Machinery Operators and Drivers,7.3,0.3
Aug-14,Northern Territory,Labourers,6.1,3.3
Aug-14,Northern Territory,Not employed,0,0
Aug-14,Australian Capital Territory,Managers,19.1,13.3
Aug-14,Australian Capital Territory,Professionals,33.2,35
Aug-14,Australian Capital Territory,Technicians and Trades Workers,18,3.2
Aug-14,Australian Capital Territory,Community and Personal Service Workers,9.7,12.1
Aug-14,Australian Capital Territory,Clerical and Administrative Workers,10,25.3
Aug-14,Australian Capital Territory,Sales Workers,5,8.6
Aug-14,Australian Capital Territory,Machinery Operators and Drivers,5.8,0
Aug-14,Australian Capital Territory,Labourers,5.6,3.8
Aug-14,Australian Capital Territory,Not employed,0,0
Aug-14,Total,Managers,988.6,548.3
Aug-14,Total,Professionals,1230.1,1374.3
Aug-14,Total,Technicians and Trades Workers,1459.5,233.1
Aug-14,Total,Community and Personal Service Workers,357.6,781.7
Aug-14,Total,Clerical and Administrative Workers,382.8,1225.7
Aug-14,Total,Sales Workers,414.9,690.2
Aug-14,Total,Machinery Operators and Drivers,682.1,66.5
Aug-14,Total,Labourers,694.8,373.1
Aug-14,Total,Not employed,0,0
Aug-15,New South Wales,Managers,332.2,182
Aug-15,New South Wales,Professionals,429.7,478
Aug-15,New South Wales,Technicians and Trades Workers,429,75.1
Aug-15,New South Wales,Community and Personal Service Workers,122,257.3
Aug-15,New South Wales,Clerical and Administrative Workers,141.4,389.6
Aug-15,New South Wales,Sales Workers,125.8,215.2
Aug-15,New South Wales,Machinery Operators and Drivers,204.5,19.4
Aug-15,New South Wales,Labourers,217.4,104
Aug-15,New South Wales,Not employed,0,0
Aug-15,Victoria,Managers,267.5,166.1
Aug-15,Victoria,Professionals,341.8,381.6
Aug-15,Victoria,Technicians and Trades Workers,329,55.5
Aug-15,Victoria,Community and Personal Service Workers,112.8,204.7
Aug-15,Victoria,Clerical and Administrative Workers,112.6,279.5
Aug-15,Victoria,Sales Workers,114.3,180
Aug-15,Victoria,Machinery Operators and Drivers,151.5,21.3
Aug-15,Victoria,Labourers,182.1,82.5
Aug-15,Victoria,Not employed,0,0
Aug-15,Queensland,Managers,161.9,110.9
Aug-15,Queensland,Professionals,227.1,266
Aug-15,Queensland,Technicians and Trades Workers,331.1,56.3
Aug-15,Queensland,Community and Personal Service Workers,71.8,179.4
Aug-15,Queensland,Clerical and Administrative Workers,69.1,252.5
Aug-15,Queensland,Sales Workers,94.6,142.2
Aug-15,Queensland,Machinery Operators and Drivers,137.8,15.2
Aug-15,Queensland,Labourers,144.5,83.4
Aug-15,Queensland,Not employed,0,0
Aug-15,South Australia,Managers,74.5,34.9
Aug-15,South Australia,Professionals,78.1,96.1
Aug-15,South Australia,Technicians and Trades Workers,92.4,21.1
Aug-15,South Australia,Community and Personal Service Workers,20.7,62.7
Aug-15,South Australia,Clerical and Administrative Workers,26.4,79.1
Aug-15,South Australia,Sales Workers,27.2,51.1
Aug-15,South Australia,Machinery Operators and Drivers,45.2,4.5
Aug-15,South Australia,Labourers,56,30.4
