Career_Year,State,Sex,Cumulative_Earnings
1,New South Wales,Male,78000
2,New South Wales,Male,158340
3,New South Wales,Male,241090.2
4,New South Wales,Male,326322.906
5,New South Wales,Male,414112.5932
6,New South Wales,Male,504535.971
7,New South Wales,Male,597672.0501
8,New South Wales,Male,693602.2116
9,New South Wales,Male,792410.278
10,New South Wales,Male,894182.5863
11,New South Wales,Male,999008.0639
12,New South Wales,Male,1106978.306
13,New South Wales,Male,1218187.655
14,New South Wales,Male,1332733.285
15,New South Wales,Male,1450715.283
16,New South Wales,Male,1572236.742
17,New South Wales,Male,1697403.844
18,New South Wales,Male,1826325.959
19,New South Wales,Male,1959115.738
20,New South Wales,Male,2095889.21
21,New South Wales,Male,2236765.886
22,New South Wales,Male,2381868.863
23,New South Wales,Male,2531324.929
24,New South Wales,Male,2685264.677
25,New South Wales,Male,2843822.617
26,New South Wales,Male,3007137.296
27,New South Wales,Male,3175351.414
28,New South Wales,Male,3348611.957
29,New South Wales,Male,3527070.316
30,New South Wales,Male,3710882.425
31,New South Wales,Male,3900208.898
32,New South Wales,Male,4095215.165
33,New South Wales,Male,4296071.62
34,New South Wales,Male,4502953.768
35,New South Wales,Male,4716042.381
36,New South Wales,Male,4935523.653
37,New South Wales,Male,5161589.362
38,New South Wales,Male,5394437.043
39,New South Wales,Male,5634270.155
40,New South Wales,Male,5881298.259
41,New South Wales,Male,6135737.207
42,New South Wales,Male,6397809.323
43,New South Wales,Male,6667743.603
44,New South Wales,Male,6945775.911
45,New South Wales,Male,7232149.188
46,New South Wales,Male,7527113.664
47,New South Wales,Male,7830927.074
48,New South Wales,Male,8143854.886
49,New South Wales,Male,8466170.533
50,New South Wales,Male,8798155.649
51,New South Wales,Male,9140100.318
52,New South Wales,Male,9492303.328
53,New South Wales,Male,9855072.427
54,New South Wales,Male,10228724.6
55,New South Wales,Male,10613586.34
56,New South Wales,Male,11009993.93
57,New South Wales,Male,11418293.75
58,New South Wales,Male,11838842.56
59,New South Wales,Male,12272007.84
60,New South Wales,Male,12718168.07
61,New South Wales,Male,13177713.11
62,New South Wales,Male,13651044.51
63,New South Wales,Male,14138575.84
64,New South Wales,Male,14640733.12
65,New South Wales,Male,15157955.11
66,New South Wales,Male,15690693.76
67,New South Wales,Male,16239414.58
68,New South Wales,Male,16804597.01
69,New South Wales,Male,17386734.92
70,New South Wales,Male,17986336.97
1,New South Wales,Female,62400
2,New South Wales,Female,126672
3,New South Wales,Female,192872.16
4,New South Wales,Female,261058.3248
5,New South Wales,Female,331290.0745
6,New South Wales,Female,403628.7768
7,New South Wales,Female,478137.6401
8,New South Wales,Female,554881.7693
9,New South Wales,Female,633928.2224
10,New South Wales,Female,715346.069
11,New South Wales,Female,799206.4511
12,New South Wales,Female,885582.6446
13,New South Wales,Female,974550.124
14,New South Wales,Female,1066186.628
15,New South Wales,Female,1160572.227
16,New South Wales,Female,1257789.393
17,New South Wales,Female,1357923.075
18,New South Wales,Female,1461060.767
19,New South Wales,Female,1567292.59
20,New South Wales,Female,1676711.368
21,New South Wales,Female,1789412.709
22,New South Wales,Female,1905495.09
23,New South Wales,Female,2025059.943
24,New South Wales,Female,2148211.741
25,New South Wales,Female,2275058.094
26,New South Wales,Female,2405709.836
27,New South Wales,Female,2540281.132
