Year,Sex,State,Industry,People,Weekly_Sum
2014,Female,New South Wales,"Agriculture, Forestry and Fishing",25100,8150680.5
2014,Female,New South Wales,Mining,4600,7408810.5
2014,Female,New South Wales,Manufacturing,81500,80338802.8
2014,Female,New South Wales,"Electricity, Gas, Water and Waste Services",5700,6399501.2
2014,Female,New South Wales,Construction,33600,26355963.9
2014,Female,New South Wales,Wholesale Trade,42900,45854226.9
2014,Female,New South Wales,Retail Trade,209300,117463322
2014,Female,New South Wales,Accommodation and Food Services,139400,70068047
2014,Female,New South Wales,"Transport, Postal and Warehousing",46800,48147175.3
2014,Female,New South Wales,Information Media and Telecommunications,34100,51661228.8
2014,Female,New South Wales,Financial and Insurance Services,93600,123187725
2014,Female,New South Wales,"Rental, Hiring and Real Estate Services",35800,36810887.1
2014,Female,New South Wales,"Professional, Scientific and Technical Services",121600,130625512.8
2014,Female,New South Wales,Administrative and Support Services,54700,43066767.7
2014,Female,New South Wales,Public Administration and Safety,93300,120431235.1
2014,Female,New South Wales,Education and Training,205500,207249274.1
2014,Female,New South Wales,Health Care and Social Assistance,337800,311351822.6
2014,Female,New South Wales,Arts and Recreation Services,23000,17852969.7
2014,Female,New South Wales,Other Services,59500,30604037.1
2014,Female,New South Wales,Total,1648900,1479235011
2014,Female,Victoria,"Agriculture, Forestry and Fishing",24100,2616409.6
2014,Female,Victoria,Mining,3000,8173848.8
2014,Female,Victoria,Manufacturing,90000,86194863.6
2014,Female,Victoria,"Electricity, Gas, Water and Waste Services",7900,9813371.2
2014,Female,Victoria,Construction,24400,20122371.5
2014,Female,Victoria,Wholesale Trade,42100,38176885.7
2014,Female,Victoria,Retail Trade,187300,94442174.8
2014,Female,Victoria,Accommodation and Food Services,88900,40773788.4
2014,Female,Victoria,"Transport, Postal and Warehousing",31900,34416539.7
2014,Female,Victoria,Information Media and Telecommunications,21100,23177065.7
2014,Female,Victoria,Financial and Insurance Services,52200,68702540.9
2014,Female,Victoria,"Rental, Hiring and Real Estate Services",20400,16234255.6
2014,Female,Victoria,"Professional, Scientific and Technical Services",111800,120586593.3
2014,Female,Victoria,Administrative and Support Services,46700,32311587
2014,Female,Victoria,Public Administration and Safety,68400,81302186.7
2014,Female,Victoria,Education and Training,166800,154991247.9
2014,Female,Victoria,Health Care and Social Assistance,264000,232938453.6
2014,Female,Victoria,Arts and Recreation Services,37900,17620747
2014,Female,Victoria,Other Services,47000,23994961.4
2014,Female,Victoria,Total,1337700,1101253644
2014,Female,Queensland,"Agriculture, Forestry and Fishing",16900,2555078.9
2014,Female,Queensland,Mining,10200,18425376
2014,Female,Queensland,Manufacturing,37400,27822128.7
2014,Female,Queensland,"Electricity, Gas, Water and Waste Services",3900,3983461
2014,Female,Queensland,Construction,24200,17626783.6
2014,Female,Queensland,Wholesale Trade,23100,22782138.2
2014,Female,Queensland,Retail Trade,143300,80854100.3
2014,Female,Queensland,Accommodation and Food Services,104300,52550125.5
2014,Female,Queensland,"Transport, Postal and Warehousing",27200,23343107.9
2014,Female,Queensland,Information Media and Telecommunications,13200,11894327.8
2014,Female,Queensland,Financial and Insurance Services,30100,41158988.3
2014,Female,Queensland,"Rental, Hiring and Real Estate Services",31300,25605287.4
2014,Female,Queensland,"Professional, Scientific and Technical Services",80300,88579549.9
2014,Female,Queensland,Administrative and Support Services,49100,34260809
2014,Female,Queensland,Public Administration and Safety,73900,94153571.6
2014,Female,Queensland,Education and Training,129200,130038622.8
2014,Female,Queensland,Health Care and Social Assistance,237100,216086356.1
2014,Female,Queensland,Arts and Recreation Services,14600,9037574.2
2014,Female,Queensland,Other Services,46800,20879118.6
2014,Female,Queensland,Total,1087800,903715155.6
2014,Female,South Australia,"Agriculture, Forestry and Fishing",10200,3670806.9
2014,Female,South Australia,Mining,1700,3229575.4
2014,Female,South Australia,Manufacturing,16800,11043457.7
2014,Female,South Australia,"Electricity, Gas, Water and Waste Services",1900,2339440.3
2014,Female,South Australia,Construction,8200,3081480.5
2014,Female,South Australia,Wholesale Trade,4900,3571068.7
2014,Female,South Australia,Retail Trade,50700,23814531.3
2014,Female,South Australia,Accommodation and Food Services,31200,12723364.4
2014,Female,South Australia,"Transport, Postal and Warehousing",10400,7006069
2014,Female,South Australia,Information Media and Telecommunications,2400,2522228.3
2014,Female,South Australia,Financial and Insurance Services,11700,11419679.5
2014,Female,South Australia,"Rental, Hiring and Real Estate Services",7400,5694270.2
2014,Female,South Australia,"Professional, Scientific and Technical Services",20000,16681423.5
2014,Female,South Australia,Administrative and Support Services,12900,6367636.4
2014,Female,South Australia,Public Administration and Safety,25700,29415102.5
2014,Female,South Australia,Education and Training,48800,50528938
2014,Female,South Australia,Health Care and Social Assistance,84500,72343397.3
2014,Female,South Australia,Arts and Recreation Services,7000,4275222.3
2014,Female,South Australia,Other Services,14400,6525859.9
2014,Female,South Australia,Total,369000,277527910.1
2014,Female,Western Australia,"Agriculture, Forestry and Fishing",10400,1508446.8
2014,Female,Western Australia,Mining,15300,22939155.2
2014,Female,Western Australia,Manufacturing,15300,14687094.9
2014,Female,Western Australia,"Electricity, Gas, Water and Waste Services",3100,4149648.9
2014,Female,Western Australia,Construction,18800,18836444.4
2014,Female,Western Australia,Wholesale Trade,15200,15458894.7
2014,Female,Western Australia,Retail Trade,82600,39975589.7
2014,Female,Western Australia,Accommodation and Food Services,47100,25399110.7
2014,Female,Western Australia,"Transport, Postal and Warehousing",17000,18383250.2
2014,Female,Western Australia,Information Media and Telecommunications,4100,3855083.1
2014,Female,Western Australia,Financial and Insurance Services,17600,19591154.3
2014,Female,Western Australia,"Rental, Hiring and Real Estate Services",18400,16866940.5
2014,Female,Western Australia,"Professional, Scientific and Technical Services",48300,46767256.2
2014,Female,Western Australia,Administrative and Support Services,22800,21684342
2014,Female,Western Australia,Public Administration and Safety,36400,46789320.4
2014,Female,Western Australia,Education and Training,65300,73517012.8
2014,Female,Western Australia,Health Care and Social Assistance,110600,120259846.2
2014,Female,Western Australia,Arts and Recreation Services,11800,7869179.8
2014,Female,Western Australia,Other Services,20200,13302029.7
2014,Female,Western Australia,Total,581600,519092583.3
2014,Female,Tasmania,"Agriculture, Forestry and Fishing",3700,896034.7
2014,Female,Tasmania,Mining,0,0
2014,Female,Tasmania,Manufacturing,4800,2697082.8
2014,Female,Tasmania,"Electricity, Gas, Water and Waste Services",400,312602.9
2014,Female,Tasmania,Construction,1800,884162
2014,Female,Tasmania,Wholesale Trade,700,383242.3
2014,Female,Tasmania,Retail Trade,15100,9299954.3
2014,Female,Tasmania,Accommodation and Food Services,11700,4334680
2014,Female,Tasmania,"Transport, Postal and Warehousing",2300,1322292.3
2014,Female,Tasmania,Information Media and Telecommunications,1600,1344668.8
2014,Female,Tasmania,Financial and Insurance Services,3700,3580357.7
2014,Female,Tasmania,"Rental, Hiring and Real Estate Services",1900,1313916.6
2014,Female,Tasmania,"Professional, Scientific and Technical Services",4200,2757639.6
2014,Female,Tasmania,Administrative and Support Services,3700,1902344.9
2014,Female,Tasmania,Public Administration and Safety,8100,8138363.3
2014,Female,Tasmania,Education and Training,15000,13430654.2
2014,Female,Tasmania,Health Care and Social Assistance,26000,21482890.8
2014,Female,Tasmania,Arts and Recreation Services,1400,1393035.8
2014,Female,Tasmania,Other Services,5300,3482684.7
2014,Female,Tasmania,Total,111100,79778347
2014,Female,Northern Territory,"Agriculture, Forestry and Fishing",300,0
2014,Female,Northern Territory,Mining,800,1412415.8
2014,Female,Northern Territory,Manufacturing,700,593853.4
2014,Female,Northern Territory,"Electricity, Gas, Water and Waste Services",300,400078.1
2014,Female,Northern Territory,Construction,1600,1554087.9
2014,Female,Northern Territory,Wholesale Trade,700,812902.3
2014,Female,Northern Territory,Retail Trade,4400,3631560.3
2014,Female,Northern Territory,Accommodation and Food Services,5100,3781006.1
2014,Female,Northern Territory,"Transport, Postal and Warehousing",700,966557.4
2014,Female,Northern Territory,Information Media and Telecommunications,800,767886.1
2014,Female,Northern Territory,Financial and Insurance Services,700,626852.6
2014,Female,Northern Territory,"Rental, Hiring and Real Estate Services",1600,1360044.1
2014,Female,Northern Territory,"Professional, Scientific and Technical Services",3000,2904863.3
2014,Female,Northern Territory,Administrative and Support Services,2200,1917643
2014,Female,Northern Territory,Public Administration and Safety,11500,16094452.9
2014,Female,Northern Territory,Education and Training,8200,9427784.1
2014,Female,Northern Territory,Health Care and Social Assistance,10300,11286912.8
2014,Female,Northern Territory,Arts and Recreation Services,1400,1494044.6
2014,Female,Northern Territory,Other Services,2200,1708702.1
2014,Female,Northern Territory,Total,56900,60618198
2014,Female,Australian Capital Territory,"Agriculture, Forestry and Fishing",0,0
2014,Female,Australian Capital Territory,Mining,0,0
2014,Female,Australian Capital Territory,Manufacturing,1400,1008735.9
2014,Female,Australian Capital Territory,"Electricity, Gas, Water and Waste Services",800,1076966
2014,Female,Australian Capital Territory,Construction,1400,1598164
2014,Female,Australian Capital Territory,Wholesale Trade,600,554621.3
2014,Female,Australian Capital Territory,Retail Trade,9000,3516293.9
2014,Female,Australian Capital Territory,Accommodation and Food Services,7300,3123875.3
2014,Female,Australian Capital Territory,"Transport, Postal and Warehousing",600,409665.2
2014,Female,Australian Capital Territory,Information Media and Telecommunications,1900,2519307
2014,Female,Australian Capital Territory,Financial and Insurance Services,2800,1570181.7
2014,Female,Australian Capital Territory,"Rental, Hiring and Real Estate Services",700,714157.3
2014,Female,Australian Capital Territory,"Professional, Scientific and Technical Services",9100,10083241.1
2014,Female,Australian Capital Territory,Administrative and Support Services,3100,3581315.8
2014,Female,Australian Capital Territory,Public Administration and Safety,30200,52071238.6
2014,Female,Australian Capital Territory,Education and Training,9800,10418807.7
2014,Female,Australian Capital Territory,Health Care and Social Assistance,18500,21118310.1
2014,Female,Australian Capital Territory,Arts and Recreation Services,2300,2371299.2
2014,Female,Australian Capital Territory,Other Services,1400,2111125.4
2014,Female,Australian Capital Territory,Total,103100,118549731.2
2014,Female,Total,"Agriculture, Forestry and Fishing",87700,19956450.4
2014,Female,Total,Mining,31700,58498240.2
2014,Female,Total,Manufacturing,251000,218191710.6
2014,Female,Total,"Electricity, Gas, Water and Waste Services",23900,33154591.8
2014,Female,Total,Construction,112700,86956514.7
2014,Female,Total,Wholesale Trade,129200,129552787.2
2014,Female,Total,Retail Trade,701400,377219565.2
2014,Female,Total,Accommodation and Food Services,437300,210265824.7
2014,Female,Total,"Transport, Postal and Warehousing",138300,131683660.2
2014,Female,Total,Information Media and Telecommunications,82000,96190321.8
2014,Female,Total,Financial and Insurance Services,210800,264651114.9
2014,Female,Total,"Rental, Hiring and Real Estate Services",113700,101489978.1
2014,Female,Total,"Professional, Scientific and Technical Services",397500,416967835.3
2014,Female,Total,Administrative and Support Services,198200,142298447.9
2014,Female,Total,Public Administration and Safety,347000,447490441.7
2014,Female,Total,Education and Training,647800,641438169.6
2014,Female,Total,Health Care and Social Assistance,1089700,1006600409
2014,Female,Total,Arts and Recreation Services,97500,56701415.4
2014,Female,Total,Other Services,198300,100292795.4
2014,Female,Total,Total,5294700,4540402735
2014,Male,New South Wales,"Agriculture, Forestry and Fishing",65700,31857840.2
2014,Male,New South Wales,Mining,31100,60533774
2014,Male,New South Wales,Manufacturing,183400,227354295.1
2014,Male,New South Wales,"Electricity, Gas, Water and Waste Services",37500,50171566.8
2014,Male,New South Wales,Construction,289300,270612698.3
2014,Male,New South Wales,Wholesale Trade,96000,123215356.1
2014,Male,New South Wales,Retail Trade,171100,140299607.6
2014,Male,New South Wales,Accommodation and Food Services,107900,64111425.7
2014,Male,New South Wales,"Transport, Postal and Warehousing",164800,206451209.5
2014,Male,New South Wales,Information Media and Telecommunications,50300,85294886.8
2014,Male,New South Wales,Financial and Insurance Services,91400,193771834.6
2014,Male,New South Wales,"Rental, Hiring and Real Estate Services",31500,53743283.3
2014,Male,New South Wales,"Professional, Scientific and Technical Services",171900,268926421.1
2014,Male,New South Wales,Administrative and Support Services,57100,53672566.4
2014,Male,New South Wales,Public Administration and Safety,106300,163288770.3
2014,Male,New South Wales,Education and Training,96700,124412307.7
2014,Male,New South Wales,Health Care and Social Assistance,91900,142987109.1
2014,Male,New South Wales,Arts and Recreation Services,25100,18209674.6
2014,Male,New South Wales,Other Services,87000,84287986.2
2014,Male,New South Wales,Total,1954400,2373945545
2014,Male,Victoria,"Agriculture, Forestry and Fishing",53900,16332367
2014,Male,Victoria,Mining,10700,28173120.6
2014,Male,Victoria,Manufacturing,203900,247950767.5
2014,Male,Victoria,"Electricity, Gas, Water and Waste Services",22700,34088739.9
2014,Male,Victoria,Construction,208600,186111586.9
2014,Male,Victoria,Wholesale Trade,74400,98038031.2
2014,Male,Victoria,Retail Trade,147100,130672003.4
2014,Male,Victoria,Accommodation and Food Services,99800,55899268.6
2014,Male,Victoria,"Transport, Postal and Warehousing",111000,136060764.5
2014,Male,Victoria,Information Media and Telecommunications,41900,64388068.3
2014,Male,Victoria,Financial and Insurance Services,63800,106787939.9
2014,Male,Victoria,"Rental, Hiring and Real Estate Services",24700,35520661.4
2014,Male,Victoria,"Professional, Scientific and Technical Services",131200,185614403.3
2014,Male,Victoria,Administrative and Support Services,45000,43468465.8
2014,Male,Victoria,Public Administration and Safety,77500,104352239.6
2014,Male,Victoria,Education and Training,73100,94413299.7
2014,Male,Victoria,Health Care and Social Assistance,83400,97549053.2
2014,Male,Victoria,Arts and Recreation Services,35500,24829042.7
2014,Male,Victoria,Other Services,59400,53104577.3
2014,Male,Victoria,Total,1567100,1749885941
2014,Male,Queensland,"Agriculture, Forestry and Fishing",30300,16753447.4
2014,Male,Queensland,Mining,58600,136817495.7
2014,Male,Queensland,Manufacturing,132100,152117037
2014,Male,Queensland,"Electricity, Gas, Water and Waste Services",26100,41945956
2014,Male,Queensland,Construction,199200,218957653.5
2014,Male,Queensland,Wholesale Trade,45400,59647366.2
2014,Male,Queensland,Retail Trade,97500,76746462.1
2014,Male,Queensland,Accommodation and Food Services,67400,40890641.6
2014,Male,Queensland,"Transport, Postal and Warehousing",95500,112057691.1
2014,Male,Queensland,Information Media and Telecommunications,20600,26271401.3
2014,Male,Queensland,Financial and Insurance Services,25500,47723866.8
2014,Male,Queensland,"Rental, Hiring and Real Estate Services",20200,16807282.1
2014,Male,Queensland,"Professional, Scientific and Technical Services",97200,130007535
2014,Male,Queensland,Administrative and Support Services,38800,26244404.4
2014,Male,Queensland,Public Administration and Safety,69300,98615511.1
2014,Male,Queensland,Education and Training,47600,71565356
2014,Male,Queensland,Health Care and Social Assistance,65300,107216538.9
2014,Male,Queensland,Arts and Recreation Services,25200,15815199.2
2014,Male,Queensland,Other Services,68600,63728465.5
2014,Male,Queensland,Total,1227400,1443196551
