Year,Sex,State,Industry,Weekly_Sum
2014,Female,New South Wales,"Agriculture, Forestry and Fishing",8150680.5
2014,Female,New South Wales,Mining,7408810.5
2014,Female,New South Wales,Manufacturing,80338802.8
2014,Female,New South Wales,"Electricity, Gas, Water and Waste Services",6399501.2
2014,Female,New South Wales,Construction,26355963.9
2014,Female,New South Wales,Wholesale Trade,45854226.9
2014,Female,New South Wales,Retail Trade,117463322
2014,Female,New South Wales,Accommodation and Food Services,70068047
2014,Female,New South Wales,"Transport, Postal and Warehousing",48147175.3
2014,Female,New South Wales,Information Media and Telecommunications,51661228.8
2014,Female,New South Wales,Financial and Insurance Services,123187725
2014,Female,New South Wales,"Rental, Hiring and Real Estate Services",36810887.1
2014,Female,New South Wales,"Professional, Scientific and Technical Services",130625512.8
2014,Female,New South Wales,Administrative and Support Services,43066767.7
2014,Female,New South Wales,Public Administration and Safety,120431235.1
2014,Female,New South Wales,Education and Training,207249274.1
2014,Female,New South Wales,Health Care and Social Assistance,311351822.6
2014,Female,New South Wales,Arts and Recreation Services,17852969.7
2014,Female,New South Wales,Other Services,30604037.1
2014,Female,New South Wales,Total,1479235011
2014,Female,Victoria,"Agriculture, Forestry and Fishing",2616409.6
2014,Female,Victoria,Mining,8173848.8
2014,Female,Victoria,Manufacturing,86194863.6
2014,Female,Victoria,"Electricity, Gas, Water and Waste Services",9813371.2
2014,Female,Victoria,Construction,20122371.5
2014,Female,Victoria,Wholesale Trade,38176885.7
2014,Female,Victoria,Retail Trade,94442174.8
2014,Female,Victoria,Accommodation and Food Services,40773788.4
2014,Female,Victoria,"Transport, Postal and Warehousing",34416539.7
2014,Female,Victoria,Information Media and Telecommunications,23177065.7
2014,Female,Victoria,Financial and Insurance Services,68702540.9
2014,Female,Victoria,"Rental, Hiring and Real Estate Services",16234255.6
2014,Female,Victoria,"Professional, Scientific and Technical Services",120586593.3
2014,Female,Victoria,Administrative and Support Services,32311587
2014,Female,Victoria,Public Administration and Safety,81302186.7
2014,Female,Victoria,Education and Training,154991247.9
2014,Female,Victoria,Health Care and Social Assistance,232938453.6
2014,Female,Victoria,Arts and Recreation Services,17620747
2014,Female,Victoria,Other Services,23994961.4
2014,Female,Victoria,Total,1101253644
2014,Female,Queensland,"Agriculture, Forestry and Fishing",2555078.9
2014,Female,Queensland,Mining,18425376
2014,Female,Queensland,Manufacturing,27822128.7
2014,Female,Queensland,"Electricity, Gas, Water and Waste Services",3983461
2014,Female,Queensland,Construction,17626783.6
2014,Female,Queensland,Wholesale Trade,22782138.2
2014,Female,Queensland,Retail Trade,80854100.3
2014,Female,Queensland,Accommodation and Food Services,52550125.5
2014,Female,Queensland,"Transport, Postal and Warehousing",23343107.9
2014,Female,Queensland,Information Media and Telecommunications,11894327.8
2014,Female,Queensland,Financial and Insurance Services,41158988.3
2014,Female,Queensland,"Rental, Hiring and Real Estate Services",25605287.4
2014,Female,Queensland,"Professional, Scientific and Technical Services",88579549.9
2014,Female,Queensland,Administrative and Support Services,34260809
2014,Female,Queensland,Public Administration and Safety,94153571.6
2014,Female,Queensland,Education and Training,130038622.8
2014,Female,Queensland,Health Care and Social Assistance,216086356.1
2014,Female,Queensland,Arts and Recreation Services,9037574.2
2014,Female,Queensland,Other Services,20879118.6
2014,Female,Queensland,Total,903715155.6
2014,Female,South Australia,"Agriculture, Forestry and Fishing",3670806.9
2014,Female,South Australia,Mining,3229575.4
2014,Female,South Australia,Manufacturing,11043457.7
2014,Female,South Australia,"Electricity, Gas, Water and Waste Services",2339440.3
2014,Female,South Australia,Construction,3081480.5
2014,Female,South Australia,Wholesale Trade,3571068.7
2014,Female,South Australia,Retail Trade,23814531.3
2014,Female,South Australia,Accommodation and Food Services,12723364.4
2014,Female,South Australia,"Transport, Postal and Warehousing",7006069
2014,Female,South Australia,Information Media and Telecommunications,2522228.3
2014,Female,South Australia,Financial and Insurance Services,11419679.5
2014,Female,South Australia,"Rental, Hiring and Real Estate Services",5694270.2
2014,Female,South Australia,"Professional, Scientific and Technical Services",16681423.5
2014,Female,South Australia,Administrative and Support Services,6367636.4
2014,Female,South Australia,Public Administration and Safety,29415102.5
2014,Female,South Australia,Education and Training,50528938
2014,Female,South Australia,Health Care and Social Assistance,72343397.3
2014,Female,South Australia,Arts and Recreation Services,4275222.3
2014,Female,South Australia,Other Services,6525859.9
2014,Female,South Australia,Total,277527910.1
2014,Female,Western Australia,"Agriculture, Forestry and Fishing",1508446.8
2014,Female,Western Australia,Mining,22939155.2
2014,Female,Western Australia,Manufacturing,14687094.9
2014,Female,Western Australia,"Electricity, Gas, Water and Waste Services",4149648.9
2014,Female,Western Australia,Construction,18836444.4
2014,Female,Western Australia,Wholesale Trade,15458894.7
2014,Female,Western Australia,Retail Trade,39975589.7
2014,Female,Western Australia,Accommodation and Food Services,25399110.7
2014,Female,Western Australia,"Transport, Postal and Warehousing",18383250.2
2014,Female,Western Australia,Information Media and Telecommunications,3855083.1
2014,Female,Western Australia,Financial and Insurance Services,19591154.3
2014,Female,Western Australia,"Rental, Hiring and Real Estate Services",16866940.5
2014,Female,Western Australia,"Professional, Scientific and Technical Services",46767256.2
2014,Female,Western Australia,Administrative and Support Services,21684342
2014,Female,Western Australia,Public Administration and Safety,46789320.4
2014,Female,Western Australia,Education and Training,73517012.8
2014,Female,Western Australia,Health Care and Social Assistance,120259846.2
2014,Female,Western Australia,Arts and Recreation Services,7869179.8
2014,Female,Western Australia,Other Services,13302029.7
2014,Female,Western Australia,Total,519092583.3
2014,Female,Tasmania,"Agriculture, Forestry and Fishing",896034.7
2014,Female,Tasmania,Mining,0
2014,Female,Tasmania,Manufacturing,2697082.8
2014,Female,Tasmania,"Electricity, Gas, Water and Waste Services",312602.9
2014,Female,Tasmania,Construction,884162
2014,Female,Tasmania,Wholesale Trade,383242.3
2014,Female,Tasmania,Retail Trade,9299954.3
2014,Female,Tasmania,Accommodation and Food Services,4334680
2014,Female,Tasmania,"Transport, Postal and Warehousing",1322292.3
2014,Female,Tasmania,Information Media and Telecommunications,1344668.8
2014,Female,Tasmania,Financial and Insurance Services,3580357.7
2014,Female,Tasmania,"Rental, Hiring and Real Estate Services",1313916.6
2014,Female,Tasmania,"Professional, Scientific and Technical Services",2757639.6
2014,Female,Tasmania,Administrative and Support Services,1902344.9
2014,Female,Tasmania,Public Administration and Safety,8138363.3
2014,Female,Tasmania,Education and Training,13430654.2
2014,Female,Tasmania,Health Care and Social Assistance,21482890.8
2014,Female,Tasmania,Arts and Recreation Services,1393035.8
2014,Female,Tasmania,Other Services,3482684.7
2014,Female,Tasmania,Total,79778347
2014,Female,Northern Territory,"Agriculture, Forestry and Fishing",0
2014,Female,Northern Territory,Mining,1412415.8
