Reference year,Region of usual residence (SA4),Sex,Age,Weighted median of Weekly earnings in main job (for means and medians) (%)
2014,New South Wales,Male,15-19 years,280.0
2014,New South Wales,Male,20-24 years,733.2
2014,New South Wales,Male,25-29 years,1100.0
2014,New South Wales,Male,30-34 years,1342.0
2014,New South Wales,Male,35-39 years,1380.0
2014,New South Wales,Male,40-44 years,1500.0
2014,New South Wales,Male,45-49 years,1500.0
2014,New South Wales,Male,50-54 years,1336.4
2014,New South Wales,Male,55-59 years,1400.0
2014,New South Wales,Male,60-64 years,1060.5
2014,New South Wales,Male,65-69 years,905.0
2014,New South Wales,Male,70-74 years,0.0
2014,New South Wales,Male,75 years and over,0.0
2014,New South Wales,Female,15-19 years,140.4
2014,New South Wales,Female,20-24 years,632.7
2014,New South Wales,Female,25-29 years,969.8
2014,New South Wales,Female,30-34 years,1000.0
2014,New South Wales,Female,35-39 years,990.8
2014,New South Wales,Female,40-44 years,1000.0
2014,New South Wales,Female,45-49 years,950.0
2014,New South Wales,Female,50-54 years,912.1
2014,New South Wales,Female,55-59 years,850.2
2014,New South Wales,Female,60-64 years,805.7
2014,New South Wales,Female,65-69 years,656.6
2014,New South Wales,Female,70-74 years,0.0
2014,New South Wales,Female,75 years and over,0.0
2014,Victoria,Male,15-19 years,176.7
2014,Victoria,Male,20-24 years,696.1
2014,Victoria,Male,25-29 years,982.0
2014,Victoria,Male,30-34 years,1200.0
2014,Victoria,Male,35-39 years,1300.0
2014,Victoria,Male,40-44 years,1410.3
2014,Victoria,Male,45-49 years,1300.0
2014,Victoria,Male,50-54 years,1400.0
2014,Victoria,Male,55-59 years,1300.0
2014,Victoria,Male,60-64 years,1268.8
2014,Victoria,Male,65-69 years,795.6
2014,Victoria,Male,70-74 years,0.0
2014,Victoria,Male,75 years and over,0.0
2014,Victoria,Female,15-19 years,126.0
2014,Victoria,Female,20-24 years,650.0
2014,Victoria,Female,25-29 years,948.7
2014,Victoria,Female,30-34 years,982.3
2014,Victoria,Female,35-39 years,930.0
2014,Victoria,Female,40-44 years,800.0
2014,Victoria,Female,45-49 years,860.9
2014,Victoria,Female,50-54 years,900.1
2014,Victoria,Female,55-59 years,820.1
2014,Victoria,Female,60-64 years,802.8
