Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-14,New South Wales,Male,"Agriculture, Forestry and Fishing",946.4
Aug-14,New South Wales,Male,Mining,2167.9
Aug-14,New South Wales,Male,Manufacturing,1100
Aug-14,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1300
Aug-14,New South Wales,Male,Construction,1173.6
Aug-14,New South Wales,Male,Wholesale Trade,1073
Aug-14,New South Wales,Male,Retail Trade,799.4
Aug-14,New South Wales,Male,Accommodation and Food Services,520.8
Aug-14,New South Wales,Male,"Transport, Postal and Warehousing",1125.4
Aug-14,New South Wales,Male,Information Media and Telecommunications,1551.1
Aug-14,New South Wales,Male,Financial and Insurance Services,1666.9
Aug-14,New South Wales,Male,"Rental, Hiring and Real Estate Services",1956.1
Aug-14,New South Wales,Male,"Professional, Scientific and Technical Services",1617.6
Aug-14,New South Wales,Male,Administrative and Support Services,1289.8
Aug-14,New South Wales,Male,Public Administration and Safety,1400
Aug-14,New South Wales,Male,Education and Training,1359.2
Aug-14,New South Wales,Male,Health Care and Social Assistance,1199.2
Aug-14,New South Wales,Male,Arts and Recreation Services,800
Aug-14,New South Wales,Male,Other Services,1166.9
Aug-14,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-14,New South Wales,Female,Mining,0
Aug-14,New South Wales,Female,Manufacturing,880.7
Aug-14,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,New South Wales,Female,Construction,804.7
Aug-14,New South Wales,Female,Wholesale Trade,997.4
Aug-14,New South Wales,Female,Retail Trade,550
Aug-14,New South Wales,Female,Accommodation and Food Services,420.8
Aug-14,New South Wales,Female,"Transport, Postal and Warehousing",1000
Aug-14,New South Wales,Female,Information Media and Telecommunications,1235.4
Aug-14,New South Wales,Female,Financial and Insurance Services,1053.1
Aug-14,New South Wales,Female,"Rental, Hiring and Real Estate Services",963.8
Aug-14,New South Wales,Female,"Professional, Scientific and Technical Services",1150
Aug-14,New South Wales,Female,Administrative and Support Services,800
Aug-14,New South Wales,Female,Public Administration and Safety,1107.9
Aug-14,New South Wales,Female,Education and Training,994.1
Aug-14,New South Wales,Female,Health Care and Social Assistance,875
Aug-14,New South Wales,Female,Arts and Recreation Services,760
Aug-14,New South Wales,Female,Other Services,644.7
Aug-14,Victoria,Male,"Agriculture, Forestry and Fishing",794.5
Aug-14,Victoria,Male,Mining,0
Aug-14,Victoria,Male,Manufacturing,1149.9
Aug-14,Victoria,Male,"Electricity, Gas, Water and Waste Services",1335.1
Aug-14,Victoria,Male,Construction,1150
Aug-14,Victoria,Male,Wholesale Trade,1000
Aug-14,Victoria,Male,Retail Trade,835.6
Aug-14,Victoria,Male,Accommodation and Food Services,468.3
Aug-14,Victoria,Male,"Transport, Postal and Warehousing",1310.1
Aug-14,Victoria,Male,Information Media and Telecommunications,1505.5
Aug-14,Victoria,Male,Financial and Insurance Services,1578.2
Aug-14,Victoria,Male,"Rental, Hiring and Real Estate Services",1214.9
Aug-14,Victoria,Male,"Professional, Scientific and Technical Services",1556.7
Aug-14,Victoria,Male,Administrative and Support Services,925.6
Aug-14,Victoria,Male,Public Administration and Safety,1250
Aug-14,Victoria,Male,Education and Training,1301.2
Aug-14,Victoria,Male,Health Care and Social Assistance,985.6
Aug-14,Victoria,Male,Arts and Recreation Services,779.6
Aug-14,Victoria,Male,Other Services,1027.3
Aug-14,Victoria,Female,"Agriculture, Forestry and Fishing",0
Aug-14,Victoria,Female,Mining,0
Aug-14,Victoria,Female,Manufacturing,874.6
Aug-14,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,Victoria,Female,Construction,859.9
Aug-14,Victoria,Female,Wholesale Trade,915.4
Aug-14,Victoria,Female,Retail Trade,500
Aug-14,Victoria,Female,Accommodation and Food Services,442.2
Aug-14,Victoria,Female,"Transport, Postal and Warehousing",950
Aug-14,Victoria,Female,Information Media and Telecommunications,973.6
Aug-14,Victoria,Female,Financial and Insurance Services,1063
Aug-14,Victoria,Female,"Rental, Hiring and Real Estate Services",1001
Aug-14,Victoria,Female,"Professional, Scientific and Technical Services",1077.1
Aug-14,Victoria,Female,Administrative and Support Services,686
Aug-14,Victoria,Female,Public Administration and Safety,1047.8
Aug-14,Victoria,Female,Education and Training,901.9
Aug-14,Victoria,Female,Health Care and Social Assistance,864
Aug-14,Victoria,Female,Arts and Recreation Services,358.5
Aug-14,Victoria,Female,Other Services,607.2
Aug-14,Queensland,Male,"Agriculture, Forestry and Fishing",1000
Aug-14,Queensland,Male,Mining,2107.6
Aug-14,Queensland,Male,Manufacturing,1100
Aug-14,Queensland,Male,"Electricity, Gas, Water and Waste Services",1500
Aug-14,Queensland,Male,Construction,1300
Aug-14,Queensland,Male,Wholesale Trade,1050
Aug-14,Queensland,Male,Retail Trade,800
Aug-14,Queensland,Male,Accommodation and Food Services,600
Aug-14,Queensland,Male,"Transport, Postal and Warehousing",1200
Aug-14,Queensland,Male,Information Media and Telecommunications,1600.5
Aug-14,Queensland,Male,Financial and Insurance Services,1617.5
Aug-14,Queensland,Male,"Rental, Hiring and Real Estate Services",944.2
Aug-14,Queensland,Male,"Professional, Scientific and Technical Services",1547.6
Aug-14,Queensland,Male,Administrative and Support Services,884.2
Aug-14,Queensland,Male,Public Administration and Safety,1263.9
Aug-14,Queensland,Male,Education and Training,1200
Aug-14,Queensland,Male,Health Care and Social Assistance,1245.6
Aug-14,Queensland,Male,Arts and Recreation Services,774.9
Aug-14,Queensland,Male,Other Services,1031.2
Aug-14,Queensland,Female,"Agriculture, Forestry and Fishing",0
Aug-14,Queensland,Female,Mining,0
Aug-14,Queensland,Female,Manufacturing,823.6
Aug-14,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-14,Queensland,Female,Construction,952.9
Aug-14,Queensland,Female,Wholesale Trade,1088.1
Aug-14,Queensland,Female,Retail Trade,560
Aug-14,Queensland,Female,Accommodation and Food Services,479.1
Aug-14,Queensland,Female,"Transport, Postal and Warehousing",896.5
