Year,State,Sex,Industry,Median_Weekly
2014,New South Wales,Male,"Agriculture, Forestry and Fishing",946.4
2014,New South Wales,Male,Mining,2167.9
2014,New South Wales,Male,Manufacturing,1100
2014,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1300
2014,New South Wales,Male,Construction,1173.6
2014,New South Wales,Male,Wholesale Trade,1073
2014,New South Wales,Male,Retail Trade,799.4
2014,New South Wales,Male,Accommodation and Food Services,520.8
2014,New South Wales,Male,"Transport, Postal and Warehousing",1125.4
2014,New South Wales,Male,Information Media and Telecommunications,1551.1
2014,New South Wales,Male,Financial and Insurance Services,1666.9
2014,New South Wales,Male,"Rental, Hiring and Real Estate Services",1956.1
2014,New South Wales,Male,"Professional, Scientific and Technical Services",1617.6
2014,New South Wales,Male,Administrative and Support Services,1289.8
2014,New South Wales,Male,Public Administration and Safety,1400
2014,New South Wales,Male,Education and Training,1359.2
2014,New South Wales,Male,Health Care and Social Assistance,1199.2
2014,New South Wales,Male,Arts and Recreation Services,800
2014,New South Wales,Male,Other Services,1166.9
2014,New South Wales,Female,"Agriculture, Forestry and Fishing",0
2014,New South Wales,Female,Mining,0
2014,New South Wales,Female,Manufacturing,880.7
2014,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
2014,New South Wales,Female,Construction,804.7
2014,New South Wales,Female,Wholesale Trade,997.4
2014,New South Wales,Female,Retail Trade,550
2014,New South Wales,Female,Accommodation and Food Services,420.8
2014,New South Wales,Female,"Transport, Postal and Warehousing",1000
2014,New South Wales,Female,Information Media and Telecommunications,1235.4
2014,New South Wales,Female,Financial and Insurance Services,1053.1
2014,New South Wales,Female,"Rental, Hiring and Real Estate Services",963.8
2014,New South Wales,Female,"Professional, Scientific and Technical Services",1150
2014,New South Wales,Female,Administrative and Support Services,800
2014,New South Wales,Female,Public Administration and Safety,1107.9
2014,New South Wales,Female,Education and Training,994.1
2014,New South Wales,Female,Health Care and Social Assistance,875
2014,New South Wales,Female,Arts and Recreation Services,760
2014,New South Wales,Female,Other Services,644.7
2014,Victoria,Male,"Agriculture, Forestry and Fishing",794.5
2014,Victoria,Male,Mining,0
2014,Victoria,Male,Manufacturing,1149.9
2014,Victoria,Male,"Electricity, Gas, Water and Waste Services",1335.1
2014,Victoria,Male,Construction,1150
2014,Victoria,Male,Wholesale Trade,1000
2014,Victoria,Male,Retail Trade,835.6
2014,Victoria,Male,Accommodation and Food Services,468.3
2014,Victoria,Male,"Transport, Postal and Warehousing",1310.1
2014,Victoria,Male,Information Media and Telecommunications,1505.5
2014,Victoria,Male,Financial and Insurance Services,1578.2
2014,Victoria,Male,"Rental, Hiring and Real Estate Services",1214.9
2014,Victoria,Male,"Professional, Scientific and Technical Services",1556.7
2014,Victoria,Male,Administrative and Support Services,925.6
2014,Victoria,Male,Public Administration and Safety,1250
2014,Victoria,Male,Education and Training,1301.2
2014,Victoria,Male,Health Care and Social Assistance,985.6
2014,Victoria,Male,Arts and Recreation Services,779.6
2014,Victoria,Male,Other Services,1027.3
2014,Victoria,Female,"Agriculture, Forestry and Fishing",0
2014,Victoria,Female,Mining,0
2014,Victoria,Female,Manufacturing,874.6
2014,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
2014,Victoria,Female,Construction,859.9
2014,Victoria,Female,Wholesale Trade,915.4
2014,Victoria,Female,Retail Trade,500
2014,Victoria,Female,Accommodation and Food Services,442.2
2014,Victoria,Female,"Transport, Postal and Warehousing",950
2014,Victoria,Female,Information Media and Telecommunications,973.6
2014,Victoria,Female,Financial and Insurance Services,1063
2014,Victoria,Female,"Rental, Hiring and Real Estate Services",1001
2014,Victoria,Female,"Professional, Scientific and Technical Services",1077.1
2014,Victoria,Female,Administrative and Support Services,686
2014,Victoria,Female,Public Administration and Safety,1047.8
2014,Victoria,Female,Education and Training,901.9
2014,Victoria,Female,Health Care and Social Assistance,864
2014,Victoria,Female,Arts and Recreation Services,358.5
2014,Victoria,Female,Other Services,607.2
2014,Queensland,Male,"Agriculture, Forestry and Fishing",1000
2014,Queensland,Male,Mining,2107.6
2014,Queensland,Male,Manufacturing,1100
2014,Queensland,Male,"Electricity, Gas, Water and Waste Services",1500
2014,Queensland,Male,Construction,1300
2014,Queensland,Male,Wholesale Trade,1050
2014,Queensland,Male,Retail Trade,800
2014,Queensland,Male,Accommodation and Food Services,600
2014,Queensland,Male,"Transport, Postal and Warehousing",1200
2014,Queensland,Male,Information Media and Telecommunications,1600.5
2014,Queensland,Male,Financial and Insurance Services,1617.5
2014,Queensland,Male,"Rental, Hiring and Real Estate Services",944.2
2014,Queensland,Male,"Professional, Scientific and Technical Services",1547.6
2014,Queensland,Male,Administrative and Support Services,884.2
2014,Queensland,Male,Public Administration and Safety,1263.9
2014,Queensland,Male,Education and Training,1200
2014,Queensland,Male,Health Care and Social Assistance,1245.6
2014,Queensland,Male,Arts and Recreation Services,774.9
2014,Queensland,Male,Other Services,1031.2
2014,Queensland,Female,"Agriculture, Forestry and Fishing",0
2014,Queensland,Female,Mining,0
2014,Queensland,Female,Manufacturing,823.6
2014,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
2014,Queensland,Female,Construction,952.9
2014,Queensland,Female,Wholesale Trade,1088.1
2014,Queensland,Female,Retail Trade,560
2014,Queensland,Female,Accommodation and Food Services,479.1
2014,Queensland,Female,"Transport, Postal and Warehousing",896.5
2014,Queensland,Female,Information Media and Telecommunications,772.8
2014,Queensland,Female,Financial and Insurance Services,951.6
2014,Queensland,Female,"Rental, Hiring and Real Estate Services",840.2
2014,Queensland,Female,"Professional, Scientific and Technical Services",1000
2014,Queensland,Female,Administrative and Support Services,750.8
2014,Queensland,Female,Public Administration and Safety,1199.5
2014,Queensland,Female,Education and Training,950
2014,Queensland,Female,Health Care and Social Assistance,846.1
2014,Queensland,Female,Arts and Recreation Services,500
2014,Queensland,Female,Other Services,641
2014,South Australia,Male,"Agriculture, Forestry and Fishing",927.8
2014,South Australia,Male,Mining,2008.4
2014,South Australia,Male,Manufacturing,1030
2014,South Australia,Male,"Electricity, Gas, Water and Waste Services",1472.9
2014,South Australia,Male,Construction,1047
2014,South Australia,Male,Wholesale Trade,1015.1
2014,South Australia,Male,Retail Trade,735.1
2014,South Australia,Male,Accommodation and Food Services,494.6
2014,South Australia,Male,"Transport, Postal and Warehousing",1150
2014,South Australia,Male,Information Media and Telecommunications,0
2014,South Australia,Male,Financial and Insurance Services,1009.2
2014,South Australia,Male,"Rental, Hiring and Real Estate Services",1380.9
2014,South Australia,Male,"Professional, Scientific and Technical Services",1400
2014,South Australia,Male,Administrative and Support Services,1112.8
2014,South Australia,Male,Public Administration and Safety,1250
2014,South Australia,Male,Education and Training,1354.9
2014,South Australia,Male,Health Care and Social Assistance,977.6
2014,South Australia,Male,Arts and Recreation Services,1092.9
2014,South Australia,Male,Other Services,952.6
2014,South Australia,Female,"Agriculture, Forestry and Fishing",0
2014,South Australia,Female,Mining,0
2014,South Australia,Female,Manufacturing,653.8
2014,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
2014,South Australia,Female,Construction,0
2014,South Australia,Female,Wholesale Trade,0
2014,South Australia,Female,Retail Trade,500
2014,South Australia,Female,Accommodation and Food Services,422.1
2014,South Australia,Female,"Transport, Postal and Warehousing",810.2
2014,South Australia,Female,Information Media and Telecommunications,0
2014,South Australia,Female,Financial and Insurance Services,900
2014,South Australia,Female,"Rental, Hiring and Real Estate Services",898.4
2014,South Australia,Female,"Professional, Scientific and Technical Services",859
2014,South Australia,Female,Administrative and Support Services,665.4
2014,South Australia,Female,Public Administration and Safety,1131.7
2014,South Australia,Female,Education and Training,1075.8
2014,South Australia,Female,Health Care and Social Assistance,800
2014,South Australia,Female,Arts and Recreation Services,0
2014,South Australia,Female,Other Services,692.2
2014,Western Australia,Male,"Agriculture, Forestry and Fishing",0
2014,Western Australia,Male,Mining,2480.7
2014,Western Australia,Male,Manufacturing,1206.8
2014,Western Australia,Male,"Electricity, Gas, Water and Waste Services",2000
2014,Western Australia,Male,Construction,1500
2014,Western Australia,Male,Wholesale Trade,1305.5
2014,Western Australia,Male,Retail Trade,900
2014,Western Australia,Male,Accommodation and Food Services,300
2014,Western Australia,Male,"Transport, Postal and Warehousing",1230
2014,Western Australia,Male,Information Media and Telecommunications,0
2014,Western Australia,Male,Financial and Insurance Services,2031.8
2014,Western Australia,Male,"Rental, Hiring and Real Estate Services",1199.2
2014,Western Australia,Male,"Professional, Scientific and Technical Services",1636.3
2014,Western Australia,Male,Administrative and Support Services,556.9
2014,Western Australia,Male,Public Administration and Safety,1500
2014,Western Australia,Male,Education and Training,1298.8
2014,Western Australia,Male,Health Care and Social Assistance,1298.2
2014,Western Australia,Male,Arts and Recreation Services,888.2
2014,Western Australia,Male,Other Services,1377.9
2014,Western Australia,Female,"Agriculture, Forestry and Fishing",0
2014,Western Australia,Female,Mining,1442.3
2014,Western Australia,Female,Manufacturing,782.3
2014,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
2014,Western Australia,Female,Construction,1013.8
2014,Western Australia,Female,Wholesale Trade,992.9
2014,Western Australia,Female,Retail Trade,484.1
2014,Western Australia,Female,Accommodation and Food Services,500
2014,Western Australia,Female,"Transport, Postal and Warehousing",848.4
2014,Western Australia,Female,Information Media and Telecommunications,0
2014,Western Australia,Female,Financial and Insurance Services,1000
2014,Western Australia,Female,"Rental, Hiring and Real Estate Services",800
2014,Western Australia,Female,"Professional, Scientific and Technical Services",1056.5
2014,Western Australia,Female,Administrative and Support Services,708.3
2014,Western Australia,Female,Public Administration and Safety,1195.4
2014,Western Australia,Female,Education and Training,1108.4
2014,Western Australia,Female,Health Care and Social Assistance,942.3
2014,Western Australia,Female,Arts and Recreation Services,541.8
2014,Western Australia,Female,Other Services,822.7
2014,Tasmania,Male,"Agriculture, Forestry and Fishing",1093.7
2014,Tasmania,Male,Mining,0
2014,Tasmania,Male,Manufacturing,1053.3
2014,Tasmania,Male,"Electricity, Gas, Water and Waste Services",1000
2014,Tasmania,Male,Construction,1082
2014,Tasmania,Male,Wholesale Trade,994.5
2014,Tasmania,Male,Retail Trade,787.3
2014,Tasmania,Male,Accommodation and Food Services,543.7
2014,Tasmania,Male,"Transport, Postal and Warehousing",1036.1
2014,Tasmania,Male,Information Media and Telecommunications,0
2014,Tasmania,Male,Financial and Insurance Services,0
2014,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
2014,Tasmania,Male,"Professional, Scientific and Technical Services",1246
2014,Tasmania,Male,Administrative and Support Services,0
2014,Tasmania,Male,Public Administration and Safety,1135.7
2014,Tasmania,Male,Education and Training,1252.4
2014,Tasmania,Male,Health Care and Social Assistance,908.5
2014,Tasmania,Male,Arts and Recreation Services,0
2014,Tasmania,Male,Other Services,849.7
2014,Tasmania,Female,"Agriculture, Forestry and Fishing",0
2014,Tasmania,Female,Mining,0
2014,Tasmania,Female,Manufacturing,674.7
2014,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
2014,Tasmania,Female,Construction,0
2014,Tasmania,Female,Wholesale Trade,0
2014,Tasmania,Female,Retail Trade,550.1
2014,Tasmania,Female,Accommodation and Food Services,355.4
2014,Tasmania,Female,"Transport, Postal and Warehousing",0
2014,Tasmania,Female,Information Media and Telecommunications,0
2014,Tasmania,Female,Financial and Insurance Services,1025.3
2014,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
2014,Tasmania,Female,"Professional, Scientific and Technical Services",614.7
2014,Tasmania,Female,Administrative and Support Services,690
2014,Tasmania,Female,Public Administration and Safety,1108
2014,Tasmania,Female,Education and Training,816.9
2014,Tasmania,Female,Health Care and Social Assistance,841
2014,Tasmania,Female,Arts and Recreation Services,0
2014,Tasmania,Female,Other Services,640.1
2014,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
2014,Northern Territory,Male,Mining,2576.1
2014,Northern Territory,Male,Manufacturing,1867.9
2014,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
2014,Northern Territory,Male,Construction,1592.1
2014,Northern Territory,Male,Wholesale Trade,0
2014,Northern Territory,Male,Retail Trade,850
2014,Northern Territory,Male,Accommodation and Food Services,0
2014,Northern Territory,Male,"Transport, Postal and Warehousing",1498.4
2014,Northern Territory,Male,Information Media and Telecommunications,0
2014,Northern Territory,Male,Financial and Insurance Services,0
2014,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
2014,Northern Territory,Male,"Professional, Scientific and Technical Services",2098.6
2014,Northern Territory,Male,Administrative and Support Services,0
2014,Northern Territory,Male,Public Administration and Safety,1500
2014,Northern Territory,Male,Education and Training,1221.7
2014,Northern Territory,Male,Health Care and Social Assistance,1331.3
2014,Northern Territory,Male,Arts and Recreation Services,0
2014,Northern Territory,Male,Other Services,1279
