Applicant_Type,Employee_Income_Persons,Employee_Income_Total,Employee_Income_Median,Unincorporated_Business_Income_Persons,Unincorporated_Business_Income_Total,Unincorporated_Business_Income_Median,Investment_Income_Persons,Investment_Income_Total,Investment_Income_Median,Other_Income_Persons,Other_Income_Total,Other_Income_Median,Total_Income_Persons,Total_Income_Total,Total_Income_Median
Skilled,349748.0,29491156.0,68889.0,50289.0,1431814.0,9348.0,260149.0,448937.0,94.0,15513.0,165305.0,890.0,380623.0,31545623.0,66073.0
Family,165487.0,8767263.0,43699.0,30025.0,644765.0,12361.0,114246.0,437976.0,79.0,8603.0,121154.0,2456.0,191888.0,9969159.0,41286.0
Humanitarian,17779.0,756923.0,40036.0,9384.0,207865.0,20281.0,9810.0,12762.0,52.0,610.0,12993.0,4705.0,24728.0,991407.0,35615.0
Skilled,154377.0,7277870.0,40300.0,23405.0,466867.0,11576.0,104148.0,352488.0,66.0,5597.0,51398.0,1157.0,174966.0,8146569.0,38225.0
Family,4592.0,147738.0,24104.0,395.0,6930.0,12247.0,2926.0,15235.0,98.0,481.0,8667.0,10013.0,5503.0,178624.0,23598.0
Humanitarian,4667.0,171729.0,30644.0,949.0,20059.0,16303.0,2649.0,2031.0,49.0,104.0,845.0,2017.0,5499.0,194651.0,28395.0
Skilled,504123.0,36769021.0,59301.0,73690.0,1896952.0,10128.0,364296.0,803619.0,85.0,21106.0,216277.0,965.0,555588.0,39695137.0,56627.0
Family,170077.0,8915143.0,43211.0,30421.0,651840.0,12360.0,117171.0,453194.0,80.0,9092.0,130118.0,2830.0,197385.0,10147133.0,40800.0
Humanitarian,22443.0,928270.0,38238.0,10333.0,228424.0,20062.0,12456.0,14983.0,51.0,711.0,14110.0,4488.0,30220.0,1185125.0,34554.0
Skilled,292767.0,26007142.0,77625.0,46613.0,1365234.0,10459.0,230742.0,562712.0,102.0,17832.0,209478.0,1165.0,328428.0,28148748.0,73059.0
Family,237464.0,11859332.0,41177.0,45242.0,983720.0,14992.0,164059.0,617894.0,93.0,14994.0,228686.0,5015.0,290686.0,13691334.0,37215.0
Humanitarian,20070.0,792140.0,38246.0,5915.0,103274.0,13804.0,8346.0,6460.0,46.0,529.0,3625.0,1600.0,24541.0,904880.0,33754.0
Skilled,239596.0,11773909.0,40509.0,31428.0,670909.0,10306.0,175141.0,515709.0,73.0,11027.0,104277.0,1294.0,276076.0,13065363.0,37434.0
Family,38242.0,1257800.0,27127.0,4591.0,84270.0,15183.0,23952.0,76854.0,96.0,2611.0,36144.0,8726.0,46074.0,1455437.0,25126.0
Humanitarian,36702.0,1166185.0,25924.0,6657.0,120945.0,14523.0,14540.0,18248.0,30.0,852.0,8555.0,146.0,41690.0,1310930.0,25163.0
Skilled,532362.0,37780752.0,59309.0,78041.0,2038158.0,10387.0,405880.0,1079548.0,88.0,28863.0,313940.0,1212.0,604504.0,41219371.0,55006.0
Family,275700.0,13117966.0,39374.0,49840.0,1068117.0,15000.0,188004.0,695101.0,93.0,17610.0,265092.0,5822.0,336766.0,15147420.0,35630.0
Humanitarian,56772.0,1958385.0,30463.0,12572.0,224270.0,14188.0,22887.0,23940.0,35.0,1384.0,12329.0,227.0,66228.0,2215070.0,28094.0
Skilled,642513.0,55494793.0,72614.0,96905.0,2798021.0,9854.0,490892.0,1015764.0,98.0,33347.0,377329.0,1023.0,709046.0,59686925.0,69085.0
Family,402947.0,20623184.0,42147.0,75269.0,1627928.0,13984.0,278305.0,1057217.0,86.0,23603.0,348276.0,3949.0,482572.0,23657860.0,38778.0
Humanitarian,37847.0,1549232.0,39074.0,15299.0,311012.0,17916.0,18155.0,18709.0,49.0,1145.0,17056.0,3188.0,49271.0,1895836.0,34838.0
Skilled,393973.0,19052319.0,40417.0,54831.0,1136914.0,10884.0,279286.0,869354.0,70.0,16624.0,155136.0,1249.0,451040.0,21213895.0,37761.0
Family,42829.0,1405029.0,26809.0,4991.0,91597.0,14960.0,26881.0,91926.0,96.0,3100.0,45072.0,8944.0,51579.0,1633883.0,25000.0
Humanitarian,41370.0,1337793.0,26399.0,7608.0,140794.0,14712.0,17188.0,20000.0,32.0,953.0,9128.0,164.0,47186.0,1504890.0,25525.0
Skilled,1036487.0,74544028.0,59304.0,151737.0,3935855.0,10256.0,770176.0,1889323.0,87.0,49972.0,533461.0,1096.0,1160089.0,80906277.0,55904.0
Family,445781.0,22028690.0,40747.0,80263.0,1718995.0,14039.0,305182.0,1149065.0,87.0,26697.0,393956.0,4775.0,534150.0,25293182.0,37413.0
Humanitarian,79213.0,2886402.0,32792.0,22904.0,451958.0,16852.0,35337.0,39412.0,40.0,2095.0,24147.0,931.0,96451.0,3399154.0,30365.0
